band_label,node_budget,train_vs_oracle_budget_mae
"[0.000,0.050]",8000,0.0411712475674895
"[0.000,0.050]",32000,0.03641470719965291
"[0.000,0.050]",128000,0.02841104650729248
"[0.050,0.200]",8000,0.040004461123594424
"[0.050,0.200]",32000,0.03149918686606088
"[0.050,0.200]",128000,0.030824803276643036
"[0.200,0.500]",8000,0.08165959152712766
"[0.200,0.500]",32000,0.06591535907860846
"[0.200,0.500]",128000,0.058176352040541585
"[0.500,0.700]",8000,0.11796770356874679
"[0.500,0.700]",32000,0.09627045824120813
"[0.500,0.700]",128000,0.07174959157793519
"[0.700,1.000]",8000,0.194899641259072
"[0.700,1.000]",32000,0.16685322987763085
"[0.700,1.000]",128000,0.13445804491456384
