group,scale,n,mse,mae
overall,400.0,240,0.10824487279186942,0.24600605499159808
stable,400.0,80,0.104067143811056,0.25081229426011165
stable_0.2,400.0,36,0.03344386820566772,0.14926541729826082
stable_0.7,400.0,70,0.11263176067247806,0.2631426115569263
overall,600.0,240,0.06349043904162792,0.17968046275893446
stable,600.0,80,0.05502898912419565,0.16945076261734943
stable_0.2,600.0,36,0.023351312282252606,0.11642656206561054
stable_0.7,600.0,70,0.05926834797088221,0.17681420801914732
overall,800.0,240,0.05085523802143455,0.16429833120630263
stable,800.0,80,0.039732613666231126,0.1458798349487183
stable_0.2,800.0,36,0.020378458432969444,0.10382048882819216
stable_0.7,800.0,70,0.04012642335644804,0.14317427952291104
overall,1200.0,240,0.05410758461921148,0.17210785702446998
stable,1200.0,80,0.04148362026283261,0.15206934554277513
stable_0.2,1200.0,36,0.018869844690537724,0.09633465761657115
stable_0.7,1200.0,70,0.03341425435289003,0.13196103871198103
