band_label,stability_group,n,teacher_vs_oracle_mae_600,train_vs_oracle_mae_600,teacher_closer_to_oracle_rate_600,teacher_oracle_sign_match_rate,train_oracle_sign_match_rate,oracle_false_0.1_0.3,oracle_false_0.2_0.4,mean_band_instability_score
"[0.000,0.050]",unstable,16,0.13958106428107633,0.029226613186350867,0.1875,0.375,0.75,0.0625,0.0625,0.7473404255319149
"[0.000,0.050]",stable,16,0.1070225798046501,0.027016508061262007,0.125,0.4375,0.6875,0.0,0.0,0.25
"[0.050,0.200]",stable,16,0.09815314976541226,0.03026184407763306,0.1875,0.6875,1.0,0.0,0.0625,0.25398936170212766
"[0.050,0.200]",middle,16,0.14094932267621668,0.03803979258926485,0.0625,0.8125,1.0,0.0,0.0,0.5242686170212766
"[0.200,0.500]",middle,16,0.11189166693547262,0.034660969700441184,0.25,1.0,1.0,,,0.3663563829787234
"[0.200,0.500]",stable,16,0.20056592186154754,0.08656312426967969,0.1875,0.75,1.0,,0.0,0.17852393617021273
"[0.500,0.700]",middle,16,0.25586293686172146,0.07349715093122267,0.3125,0.8125,1.0,,,0.3806515957446808
"[0.500,0.700]",stable,16,0.2910957708484323,0.0500894632075103,0.125,0.875,1.0,,,0.1831781914893617
"[0.700,1.000]",middle,16,0.19118161110984322,0.15631387621157405,0.5,1.0,1.0,,,0.35904255319148937
"[0.700,1.000]",stable,16,0.150416390806705,0.06652328312924183,0.4375,1.0,1.0,,,0.19115691489361702
"[0.700,1.000]",unstable,16,0.31433395866498515,0.1805369754028756,0.375,0.9375,1.0,,,0.5748005319148937
"[0.000,0.050]",middle,16,0.125832871406139,0.02899001827426458,0.125,0.875,0.6875,0.13333333333333333,0.0625,0.5026595744680851
"[0.200,0.500]",unstable,16,0.24261756696446812,0.0533049621515039,0.125,0.8125,1.0,,0.0,0.5801196808510638
"[0.500,0.700]",unstable,16,0.21008414722082877,0.09166216059507258,0.25,0.9375,1.0,,,0.5611702127659575
"[0.050,0.200]",unstable,16,0.11561798217651777,0.024172773163031187,0.0,0.8125,1.0,0.0,0.0625,0.7217420212765957
