bucket,left,right,center,count,mse,mae,mean_y,mean_p,bias,abs_cal_gap
0,-1.0,-0.9,-0.95,2,0.11759475679175353,0.3213972239445945,-0.9393171458195946,-0.617919921875,0.3213972239445945,0.3213972239445946
1,-0.9,-0.8,-0.8500000000000001,0,,,,,,
2,-0.8,-0.7,-0.75,6,0.09654835581319439,0.20694152867924723,-0.724515084067504,-0.6436640421549479,0.0808510419125562,0.0808510419125561
3,-0.7,-0.6,-0.6499999999999999,19,0.052106047524264454,0.18641094146686854,-0.6504970103388586,-0.5132606907894737,0.1372363195493851,0.13723631954938498
4,-0.6,-0.5,-0.55,13,0.13246714951642447,0.2751930449983171,-0.5700825630591712,-0.3087322528545673,0.2613503102046038,0.26135031020460386
5,-0.5,-0.3999999999999999,-0.44999999999999996,10,0.029318468709657687,0.14792040236586249,-0.4524945028311421,-0.362890625,0.08960387783114218,0.0896038778311421
6,-0.3999999999999999,-0.29999999999999993,-0.3499999999999999,14,0.05855121098926975,0.2092664481218307,-0.3573871035671994,-0.16175787789481028,0.19562922567238905,0.1956292256723891
7,-0.29999999999999993,-0.19999999999999996,-0.24999999999999994,10,0.15983456718145708,0.27308602827751394,-0.24367528995682325,-0.05023193359375,0.19344335636307325,0.19344335636307325
8,-0.19999999999999996,-0.09999999999999998,-0.14999999999999997,16,0.03248947052955137,0.1650325475768566,-0.15391208718513014,-0.0763559341430664,0.07755615304206373,0.07755615304206373
9,-0.09999999999999998,0.0,-0.04999999999999999,34,0.01991458488492789,0.10783784728636202,-0.0487026217953879,-0.03918126050163718,0.009521361293750728,0.009521361293750724
10,0.0,0.10000000000000009,0.050000000000000044,30,0.027757811454651685,0.12321851764531092,0.04381208806409534,0.09674428304036459,0.05293219497626924,0.05293219497626925
11,0.10000000000000009,0.20000000000000018,0.15000000000000013,19,0.023256839492746033,0.09822631166237414,0.1395063186140957,0.10528203060752467,-0.034224288006571034,0.03422428800657104
12,0.20000000000000018,0.30000000000000004,0.2500000000000001,7,0.022112936085208024,0.12024130421826117,0.2569455147805052,0.13793509347098215,-0.11901042130952304,0.11901042130952305
13,0.30000000000000004,0.40000000000000013,0.3500000000000001,7,0.04345747942825049,0.18854657703201813,0.3285405886859692,0.22310529436383927,-0.10543529432212995,0.10543529432212992
14,0.40000000000000013,0.5,0.45000000000000007,13,0.03811778237775638,0.17646514851916864,0.4458041357139352,0.4293165940504808,-0.016487541663454418,0.016487541663454397
15,0.5,0.6000000000000001,0.55,13,0.120987467865063,0.24709320460458084,0.538692240286728,0.4616646399864784,-0.07702760030024963,0.07702760030024963
16,0.6000000000000001,0.7000000000000002,0.6500000000000001,14,0.25166219915172844,0.40635030830445323,0.6502792049162781,0.2961318152291434,-0.3541473896871347,0.3541473896871347
17,0.7000000000000002,0.8,0.7500000000000001,9,0.03443765640698314,0.12815518999039754,0.7512020122180633,0.6551106770833334,-0.09609133513472998,0.0960913351347299
18,0.8,0.9000000000000001,0.8500000000000001,3,0.007781719422752506,0.07325812622289411,0.8531741654437726,0.9264322916666666,0.07325812622289411,0.07325812622289407
19,0.9000000000000001,1.0,0.9500000000000001,1,0.14443283772429943,0.3800432050758169,0.9640275800758169,0.583984375,-0.3800432050758169,0.3800432050758169
