bucket,left,right,center,count,mse,mae,mean_y,mean_p,bias,abs_cal_gap
0,-1.0,-0.9,-0.95,0,,,,,,
1,-0.9,-0.8,-0.8500000000000001,0,,,,,,
2,-0.8,-0.7,-0.75,3,0.016370099009961687,0.11456158658791775,-0.7080337287529908,-0.7213541666666666,-0.013320437913675875,0.013320437913675875
3,-0.7,-0.6,-0.6499999999999999,8,0.04832031315840364,0.18217332798383495,-0.6613568852752859,-0.494049072265625,0.16730781300966094,0.1673078130096609
4,-0.6,-0.5,-0.55,3,0.04621664172554602,0.18564062642567972,-0.5625658491564963,-0.4020182291666667,0.1605476199898297,0.16054761998982964
5,-0.5,-0.3999999999999999,-0.44999999999999996,2,0.014684080014850375,0.10439422451449568,-0.44045379482699565,-0.3360595703125,0.10439422451449568,0.10439422451449565
6,-0.3999999999999999,-0.29999999999999993,-0.3499999999999999,4,0.0665997213186591,0.23930302835717254,-0.3559068796755319,-0.11660385131835938,0.23930302835717254,0.23930302835717254
7,-0.29999999999999993,-0.19999999999999996,-0.24999999999999994,1,0.00048243394838729117,0.021964379080394947,-0.28978664470539495,-0.267822265625,0.021964379080394947,0.021964379080394947
8,-0.19999999999999996,-0.09999999999999998,-0.14999999999999997,5,0.03226029160297714,0.16779730206355775,-0.15877325421199523,0.0090240478515625,0.16779730206355775,0.16779730206355772
9,-0.09999999999999998,0.0,-0.04999999999999999,9,0.013036644106082011,0.09811866011045606,-0.042897346527122064,-0.021736780802408855,0.021160565724713212,0.02116056572471321
10,0.0,0.10000000000000009,0.050000000000000044,10,0.014387212692424111,0.09673478574163814,0.03611976373410242,0.03643341064453125,0.00031364691042883307,0.0003136469104288303
11,0.10000000000000009,0.20000000000000018,0.15000000000000013,12,0.03484532168893574,0.12516282713614205,0.1431854794896519,0.08264350891113281,-0.0605419705785191,0.060541970578519094
12,0.20000000000000018,0.30000000000000004,0.2500000000000001,1,0.09016186431904372,0.3002696526774621,0.2836680901774621,-0.0166015625,-0.3002696526774621,0.3002696526774621
13,0.30000000000000004,0.40000000000000013,0.3500000000000001,3,0.03591774678053792,0.16886598752325344,0.3204189906272643,0.3454793294270833,0.025060338799819004,0.025060338799819004
14,0.40000000000000013,0.5,0.45000000000000007,4,0.06255115161040502,0.24505486211789373,0.44788994512570623,0.2028350830078125,-0.24505486211789373,0.24505486211789373
15,0.5,0.6000000000000001,0.55,4,0.26608252140058525,0.3865454352042732,0.5533373510978279,0.1667919158935547,-0.3865454352042732,0.3865454352042732
16,0.6000000000000001,0.7000000000000002,0.6500000000000001,4,0.24355635234986261,0.4125240194391616,0.6590074852380903,0.28165483474731445,-0.3773526504907758,0.3773526504907758
17,0.7000000000000002,0.8,0.7500000000000001,3,0.01221549298381844,0.07852136817979723,0.7402550170856196,0.6891276041666666,-0.05112741291895295,0.05112741291895295
18,0.8,0.9000000000000001,0.8500000000000001,3,0.007781719422752506,0.07325812622289411,0.8531741654437726,0.9264322916666666,0.07325812622289411,0.07325812622289407
19,0.9000000000000001,1.0,0.9500000000000001,1,0.14443283772429943,0.3800432050758169,0.9640275800758169,0.583984375,-0.3800432050758169,0.3800432050758169
