band_idx,band_label,err_bin_id,err_left,err_right,count,quota
0,"[0.000,0.050]",0,0.0,0.05010986328125,52342,16
0,"[0.000,0.050]",1,0.05010986328125,0.1353759765625,52351,16
0,"[0.000,0.050]",2,0.1353759765625,1.0021320364786481,52349,16
1,"[0.050,0.200]",0,0.0,0.05090418830513954,39319,16
1,"[0.050,0.200]",1,0.05090418830513954,0.12432495504617691,39319,16
1,"[0.050,0.200]",2,0.12432495504617691,1.0495863358838653,39320,16
2,"[0.200,0.500]",0,0.0,0.09729969501495361,30333,16
2,"[0.200,0.500]",1,0.09729969501495361,0.2155419886112213,30333,16
2,"[0.200,0.500]",2,0.2155419886112213,1.4322125415666198,30334,16
3,"[0.500,0.700]",0,0.0,0.13576096296310425,21333,16
3,"[0.500,0.700]",1,0.13576096296310425,0.32467448711395264,21333,16
3,"[0.500,0.700]",2,0.32467448711395264,1.6010459761483764,21334,16
4,"[0.700,1.000]",0,0.0,0.09835517406463623,23333,16
4,"[0.700,1.000]",1,0.09835517406463623,0.3342939615249634,23333,16
4,"[0.700,1.000]",2,0.3342939615249634,1.92138672875,23334,16
