shard_id,band_idx,band_label,count
0,0,"[0.000,0.050]",15690
0,1,"[0.050,0.100]",5803
0,2,"[0.100,0.150]",3510
0,3,"[0.150,0.200]",2502
1,0,"[0.000,0.050]",15668
1,1,"[0.050,0.100]",5799
1,2,"[0.100,0.150]",3642
1,3,"[0.150,0.200]",2502
2,0,"[0.000,0.050]",15828
2,1,"[0.050,0.100]",5711
2,2,"[0.100,0.150]",3473
2,3,"[0.150,0.200]",2400
3,0,"[0.000,0.050]",15760
3,1,"[0.050,0.100]",5780
3,2,"[0.100,0.150]",3375
3,3,"[0.150,0.200]",2543
4,0,"[0.000,0.050]",15749
4,1,"[0.050,0.100]",5931
4,2,"[0.100,0.150]",3537
4,3,"[0.150,0.200]",2447
5,0,"[0.000,0.050]",15632
5,1,"[0.050,0.100]",5880
5,2,"[0.100,0.150]",3531
5,3,"[0.150,0.200]",2523
6,0,"[0.000,0.050]",15643
6,1,"[0.050,0.100]",5758
6,2,"[0.100,0.150]",3491
6,3,"[0.150,0.200]",2511
7,0,"[0.000,0.050]",15690
7,1,"[0.050,0.100]",5759
7,2,"[0.100,0.150]",3515
7,3,"[0.150,0.200]",2475
8,0,"[0.000,0.050]",15849
8,1,"[0.050,0.100]",5728
8,2,"[0.100,0.150]",3434
8,3,"[0.150,0.200]",2638
9,0,"[0.000,0.050]",15767
9,1,"[0.050,0.100]",5892
9,2,"[0.100,0.150]",3493
9,3,"[0.150,0.200]",2499
10,0,"[0.000,0.050]",15698
10,1,"[0.050,0.100]",5746
10,2,"[0.100,0.150]",3517
10,3,"[0.150,0.200]",2561
11,0,"[0.000,0.050]",15630
11,1,"[0.050,0.100]",5924
11,2,"[0.100,0.150]",3503
11,3,"[0.150,0.200]",2468
12,0,"[0.000,0.050]",15708
12,1,"[0.050,0.100]",5817
12,2,"[0.100,0.150]",3432
12,3,"[0.150,0.200]",2469
13,0,"[0.000,0.050]",15565
13,1,"[0.050,0.100]",5854
13,2,"[0.100,0.150]",3432
13,3,"[0.150,0.200]",2483
14,0,"[0.000,0.050]",15499
14,1,"[0.050,0.100]",5750
14,2,"[0.100,0.150]",3543
14,3,"[0.150,0.200]",2446
15,0,"[0.000,0.050]",15750
15,1,"[0.050,0.100]",5722
15,2,"[0.100,0.150]",3478
15,3,"[0.150,0.200]",2510
16,0,"[0.000,0.050]",15750
