shard_id,band_idx,band_label,count,quota
0,0,"[0.000,0.050]",15690,0
1,0,"[0.000,0.050]",15668,0
2,0,"[0.000,0.050]",15828,1
3,0,"[0.000,0.050]",15760,0
4,0,"[0.000,0.050]",15749,0
5,0,"[0.000,0.050]",15632,0
6,0,"[0.000,0.050]",15643,0
7,0,"[0.000,0.050]",15690,0
8,0,"[0.000,0.050]",15849,1
9,0,"[0.000,0.050]",15767,1
10,0,"[0.000,0.050]",15698,0
11,0,"[0.000,0.050]",15630,0
12,0,"[0.000,0.050]",15708,0
13,0,"[0.000,0.050]",15565,0
14,0,"[0.000,0.050]",15499,0
15,0,"[0.000,0.050]",15750,0
16,0,"[0.000,0.050]",15750,0
17,0,"[0.000,0.050]",15847,1
18,0,"[0.000,0.050]",15639,0
19,0,"[0.000,0.050]",15670,0
20,0,"[0.000,0.050]",15517,0
21,0,"[0.000,0.050]",15648,0
22,0,"[0.000,0.050]",15607,0
23,0,"[0.000,0.050]",15639,0
24,0,"[0.000,0.050]",15704,0
25,0,"[0.000,0.050]",15613,0
26,0,"[0.000,0.050]",15820,1
27,0,"[0.000,0.050]",15715,0
28,0,"[0.000,0.050]",15753,0
29,0,"[0.000,0.050]",15916,1
30,0,"[0.000,0.050]",15811,1
31,0,"[0.000,0.050]",15619,0
32,0,"[0.000,0.050]",15697,0
33,0,"[0.000,0.050]",15564,0
34,0,"[0.000,0.050]",15767,1
35,0,"[0.000,0.050]",15615,0
36,0,"[0.000,0.050]",15723,0
37,0,"[0.000,0.050]",15650,0
38,0,"[0.000,0.050]",15707,0
39,0,"[0.000,0.050]",15862,1
40,0,"[0.000,0.050]",15660,0
41,0,"[0.000,0.050]",15984,1
42,0,"[0.000,0.050]",15640,0
43,0,"[0.000,0.050]",15735,0
44,0,"[0.000,0.050]",15674,0
45,0,"[0.000,0.050]",15718,0
46,0,"[0.000,0.050]",15761,1
47,0,"[0.000,0.050]",15766,1
48,0,"[0.000,0.050]",15652,0
49,0,"[0.000,0.050]",15786,1
50,0,"[0.000,0.050]",15674,0
51,0,"[0.000,0.050]",15819,1
52,0,"[0.000,0.050]",15670,0
53,0,"[0.000,0.050]",15757,0
54,0,"[0.000,0.050]",15873,1
55,0,"[0.000,0.050]",15839,1
56,0,"[0.000,0.050]",15981,1
57,0,"[0.000,0.050]",15590,0
58,0,"[0.000,0.050]",15800,1
59,0,"[0.000,0.050]",15738,0
60,0,"[0.000,0.050]",15579,0
61,0,"[0.000,0.050]",15644,0
62,0,"[0.000,0.050]",15620,0
63,0,"[0.000,0.050]",15727,0
64,0,"[0.000,0.050]",15625,0
65,0,"[0.000,0.050]",15794,1
66,0,"[0.000,0.050]",15959,1
67,0,"[0.000,0.050]",15750,0
68,0,"[0.000,0.050]",15655,0
69,0,"[0.000,0.050]",15789,1
70,0,"[0.000,0.050]",15661,0
71,0,"[0.000,0.050]",15528,0
72,0,"[0.000,0.050]",15786,1
73,0,"[0.000,0.050]",15804,1
74,0,"[0.000,0.050]",15709,0
75,0,"[0.000,0.050]",15777,1
76,0,"[0.000,0.050]",15743,0
77,0,"[0.000,0.050]",15685,0
78,0,"[0.000,0.050]",15728,0
79,0,"[0.000,0.050]",15577,0
0,1,"[0.050,0.100]",5803,0
1,1,"[0.050,0.100]",5799,0
2,1,"[0.050,0.100]",5711,0
3,1,"[0.050,0.100]",5780,0
4,1,"[0.050,0.100]",5931,1
5,1,"[0.050,0.100]",5880,1
6,1,"[0.050,0.100]",5758,0
7,1,"[0.050,0.100]",5759,0
8,1,"[0.050,0.100]",5728,0
9,1,"[0.050,0.100]",5892,1
10,1,"[0.050,0.100]",5746,0
11,1,"[0.050,0.100]",5924,1
12,1,"[0.050,0.100]",5817,0
13,1,"[0.050,0.100]",5854,1
14,1,"[0.050,0.100]",5750,0
15,1,"[0.050,0.100]",5722,0
16,1,"[0.050,0.100]",5764,0
17,1,"[0.050,0.100]",5790,0
18,1,"[0.050,0.100]",5706,0
19,1,"[0.050,0.100]",5748,0
20,1,"[0.050,0.100]",5770,0
21,1,"[0.050,0.100]",5816,0
22,1,"[0.050,0.100]",5702,0
23,1,"[0.050,0.100]",5648,0
24,1,"[0.050,0.100]",5856,1
