bucket,left,right,center,count,mse,mae,mean_y,mean_p,bias,abs_cal_gap
0,-1.0,-0.9,-0.95,2802,0.22654103765073627,0.35356166563219105,-0.9639660181061529,-0.6117637391149984,0.35220227899115447,0.3522022789911545
1,-0.9,-0.8,-0.8500000000000001,4305,0.14046497375752623,0.26646471957487533,-0.8444538488759119,-0.5841948618996105,0.2602589869763014,0.26025898697630145
2,-0.8,-0.7,-0.75,6900,0.11753441276092726,0.24841030592414792,-0.7479540039750113,-0.5091025658857237,0.23885143808928772,0.23885143808928766
3,-0.7,-0.6,-0.6499999999999999,6947,0.11277033657768572,0.2538683298726564,-0.6518813001778343,-0.4103059617388483,0.24157533843898601,0.241575338438986
4,-0.6,-0.5,-0.55,5870,0.09906678406777004,0.242478738255245,-0.550420923980375,-0.3292463601180737,0.2211745638623013,0.22117456386230133
5,-0.5,-0.3999999999999999,-0.44999999999999996,5436,0.08028841088051122,0.21650573598425374,-0.44922155464195523,-0.2676769491059846,0.1815446055359706,0.18154460553597063
6,-0.3999999999999999,-0.29999999999999993,-0.3499999999999999,5752,0.059486072793447954,0.18125808252849193,-0.3491944269185189,-0.21757509554062154,0.13161933137789736,0.13161933137789733
7,-0.29999999999999993,-0.19999999999999996,-0.24999999999999994,7079,0.040331745982526444,0.14221015752227212,-0.24724245707957418,-0.17964683710549875,0.06759561997407537,0.06759561997407543
8,-0.19999999999999996,-0.09999999999999998,-0.14999999999999997,12156,0.03155333143463982,0.12204247421879892,-0.14396453694222533,-0.131918838854997,0.012045698087228357,0.01204569808722833
9,-0.09999999999999998,0.0,-0.04999999999999999,43102,0.03460819266466755,0.15305662630110486,-0.04173192363818799,-0.07532976183501104,-0.03359783819682305,0.03359783819682305
10,0.0,0.10000000000000009,0.050000000000000044,42943,0.049532415111596464,0.18423063019647284,0.020817365530564964,0.06275287147106498,0.04193550594050001,0.041935505940500016
11,0.10000000000000009,0.20000000000000018,0.15000000000000013,11993,0.03213970158769297,0.1262652616612537,0.14403927124857177,0.15209096907160674,0.008051697823034967,0.00805169782303497
12,0.20000000000000018,0.30000000000000004,0.2500000000000001,6960,0.042035005298196725,0.1441787974483532,0.24829597599675943,0.19512823634852372,-0.053167739648235686,0.05316773964823571
13,0.30000000000000004,0.40000000000000013,0.3500000000000001,5743,0.06026170258870036,0.17840650889733337,0.3496298493615389,0.23471641072663663,-0.11491343863490228,0.11491343863490228
14,0.40000000000000013,0.5,0.45000000000000007,5363,0.08545500923992413,0.21349114731255467,0.4505185670379647,0.27847307100028057,-0.17204549603768415,0.17204549603768415
15,0.5,0.6000000000000001,0.55,5796,0.1135107490175028,0.24847246896904282,0.549633382218636,0.32729811082383997,-0.22233527139479597,0.22233527139479603
16,0.6000000000000001,0.7000000000000002,0.6500000000000001,6864,0.14468218507275402,0.2769071745710735,0.6514118810581577,0.3913707775063131,-0.2600411035518447,0.2600411035518446
17,0.7000000000000002,0.8,0.7500000000000001,6785,0.1544654634327582,0.2738928203416998,0.7479324118477857,0.4872976519889384,-0.2606347598588473,0.2606347598588473
18,0.8,0.9000000000000001,0.8500000000000001,4381,0.17663064385373972,0.2945034887220382,0.8448948322080417,0.5587726484151414,-0.28612218379290033,0.28612218379290033
19,0.9000000000000001,1.0,0.9500000000000001,2823,0.24250117727503753,0.36356177641205023,0.9649616967394468,0.6026897122296614,-0.3622719845097854,0.36227198450978537
