index,fen,target_y,teacher_pred,teacher_abs_err,search_static_score,proxy_final_score,proxy_abs_final_score,proxy_vol_range,proxy_vol_std,proxy_static_gap,proxy_sign_flips,proxy_best_move_changes,search_score_d1,best_move_d1,search_score_d2,best_move_d2,search_score_d3,best_move_d3,search_score_d4,best_move_d4
175,r1b2rk1/pp2nppp/1bn5/1N1p4/6q1/P2B1N2/3B1PPP/R1Q1R1K1 w - - 0 1,-0.1635187566280365,-0.1136474609375,0.0498712956905365,-0.05128205128205128,-0.05128205128205128,0.05128205128205128,0.0,0.0,0.0,0,0,-0.05128205128205128,b5d6,-0.05128205128205128,b5d6,-0.05128205128205128,b5d6,-0.05128205128205128,b5d6
420,r4k2/pp1b1p1Q/3qp1n1/6P1/4P3/1B6/P1P5/1K5R w - - 0 1,0.06988588720560074,0.30029296875,0.23040708154439926,-0.07692307692307693,-0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0,1,-0.07692307692307693,h1d1,-0.07692307692307693,h1d1,-0.07692307692307693,h1g1,-0.07692307692307693,h1g1
736,4n1k1/pp4Bp/2p1p1p1/8/2P5/1P2Pp2/P2r1PPP/1R3K2 w - - 0 1,0.021663276478648186,-0.22509765625,0.24676093272864819,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,b1b2,0.0,b1b2,0.0,g7b2,0.0,g7b2
753,8/5k1p/8/p2r1prP/Np2p1P1/1P2R3/4KN2/8 w - - 0 1,-0.08810430020093918,-0.035247802734375,0.05285649746656418,-0.02564102564102564,-0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0,0,-0.02564102564102564,g4f5,-0.02564102564102564,g4f5,-0.02564102564102564,g4f5,-0.02564102564102564,g4f5
781,r5k1/1pp2rpp/1nn1pp2/8/p2Pb1P1/P1B1P2P/1P3P1N/2R1KBR1 b q - 0 1,-0.00999966636300087,-0.03173828125,0.02173861488699913,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0,-0.0,g8h8,-0.0,g8h8,-0.0,g8h8,-0.0,g8h8
822,r7/p1r1pk2/1p1p1p2/3Pb1p1/1PP2n1p/P3BP1P/3R1KP1/2R2B2 w - - 0 1,-0.05328282341361046,-0.0242919921875,0.02899083122611046,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,e3f4,0.0,e3f4,0.0,c1c2,0.0,c1c2
1270,rq3rk1/1b3pp1/p3p2p/1pb1n2n/4P2B/2N2N2/PP2QPPP/1B1R1RK1 w - - 0 1,-0.059928104281425476,0.050323486328125,0.11025159060955048,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,f3e5,0.0,f3e5,0.0,f3e5,0.0,f3e5
1645,8/1p2k3/p1b1r3/P4ppp/1PPR4/1N2P3/5KP1/8 w - - 0 1,0.0,-0.022003173828125,0.022003173828125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,b3c5,0.0,b3c5,0.0,b3c5,0.0,b3c5
2709,3r1rk1/3n1pn1/p3p1pp/1p2P3/3bNP1q/P4Q2/1P2BP1P/R1B2R1K w - - 0 1,0.031656086444854736,0.1842041015625,0.15254801511764526,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,f1g1,0.0,f1g1,0.0,f1g1,0.0,f1g1
3604,r4rk1/pb1nqppp/1p2pn2/8/PbN5/2B2NP1/2Q1PPBP/R2R2K1 w - - 0 1,0.1586485058069229,0.16552734375,0.006878837943077087,-0.02564102564102564,-0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0,0,-0.02564102564102564,c3b4,-0.02564102564102564,c3b4,-0.02564102564102564,c3b4,-0.02564102564102564,c3b4
3893,3r4/1p3pkp/p1q3p1/2p5/3r4/1PQ3P1/PR1PRPKP/8 w - - 0 1,-0.11942730098962784,-0.120361328125,0.0009340271353721619,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,g2h3,0.0,g2h3,0.0,g2h3,0.0,g2h3
4042,3r1bk1/1p1n3p/p1p2pp1/3p1b2/3P1B2/1NP2B2/PP2RPPP/6K1 b - - 0 1,-0.036650244146585464,-0.02978515625,0.0068650878965854645,-0.0,-0.0,0.0,0.0,0.0,0.0,0,1,-0.0,g8h8,-0.0,g8h8,-0.0,f5d3,-0.0,f5d3
6404,8/5p2/2p2k1p/1pPp3P/3P1KP1/3R4/8/r7 w - - 0 1,-0.021663276478648186,-0.145263671875,0.12360039539635181,-0.02564102564102564,-0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0,1,-0.02564102564102564,d3e3,-0.02564102564102564,d3e3,-0.02564102564102564,d3f3,-0.02564102564102564,d3f3
7149,r1b1k2r/p1p2p2/1npbq3/4N3/3P1Bp1/P1N3P1/1P2PPK1/R2Q1R2 b kq - 0 1,-0.0,0.152587890625,0.152587890625,-0.02564102564102564,-0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0,1,-0.02564102564102564,d6e5,-0.02564102564102564,d6e5,-0.02564102564102564,b6d5,-0.02564102564102564,b6d5
7380,3r4/8/8/kp1pR3/p2P4/P2KP3/1P6/8 w - - 0 1,0.004999958444386721,0.68896484375,0.6839648853056133,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0,0,0.02564102564102564,e3e4,0.02564102564102564,e3e4,0.02564102564102564,e3e4,0.02564102564102564,e3e4
8458,r4rk1/p1p2ppp/2Qb1qb1/8/2P5/8/PP3PPP/RNB2RK1 w - - 0 1,-0.12271177023649216,-0.1373291015625,0.014617331326007843,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0,1,0.02564102564102564,f2f3,0.02564102564102564,f2f3,0.02564102564102564,g2g3,0.02564102564102564,g2g3
8660,3b2k1/p4p1p/1p2pp2/3q4/4N3/5Q2/PPP2PPP/6K1 w - - 0 1,0.0,0.15576171875,0.15576171875,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,f3d3,0.0,f3d3,0.0,f3d3,0.0,f3d3
9157,r1bqkb1r/p1p1n1pp/2p1p3/3pP3/8/2P5/PP3PPP/RNBQK1NR w KQkq - 0 1,-0.0383145697414875,-0.007904052734375,0.030410517007112503,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,f2f3,0.0,f2f3,0.0,f2f3,0.0,f2f3
