bucket,left,right,center,count,mse,mae,mean_y,mean_p,bias,abs_cal_gap
0,-1.0,-0.9,-0.95,54,0.20543987087441223,0.3417675779686643,-0.9652069288271444,-0.624928014243424,0.34027891458372045,0.3402789145837204
1,-0.9,-0.8,-0.8500000000000001,91,0.19768139410244204,0.3336644787508766,-0.8480624576191326,-0.5205854033885027,0.32747705423063,0.3274770542306299
2,-0.8,-0.7,-0.75,139,0.12519809263353865,0.2693494522085041,-0.7490616509382674,-0.4956583715681909,0.2534032793700764,0.25340327937007645
3,-0.7,-0.6,-0.6499999999999999,140,0.0992927687968022,0.2312522820336872,-0.6541292122432164,-0.4317044319021503,0.2224247803410661,0.2224247803410661
4,-0.6,-0.5,-0.55,111,0.11610516965745442,0.26720009369572567,-0.5502814967353065,-0.30073889593658554,0.24954260079872095,0.24954260079872093
5,-0.5,-0.3999999999999999,-0.44999999999999996,96,0.07731137506165685,0.21073836439224503,-0.4510897488022844,-0.2707558691407408,0.18033387966154357,0.18033387966154363
6,-0.3999999999999999,-0.29999999999999993,-0.3499999999999999,137,0.05943201656452072,0.18141402492088887,-0.3475966470955062,-0.20418195392551425,0.143414693169992,0.14341469316999195
7,-0.29999999999999993,-0.19999999999999996,-0.24999999999999994,149,0.039823185223210954,0.14497065325128294,-0.2499465001309478,-0.1925524599341891,0.05739404019675873,0.0573940401967587
8,-0.19999999999999996,-0.09999999999999998,-0.14999999999999997,222,0.02864746161621033,0.1172328780778963,-0.14396222143828333,-0.12320619456950885,0.02075602686877448,0.02075602686877448
9,-0.09999999999999998,0.0,-0.04999999999999999,875,0.033163717380523365,0.14747118996118108,-0.042471558395240985,-0.06937570687472198,-0.026904148479481,0.026904148479481
10,0.0,0.10000000000000009,0.050000000000000044,858,0.05126048855025536,0.18402441000931313,0.019906151533943095,0.059901891602087656,0.03999574006814456,0.03999574006814456
11,0.10000000000000009,0.20000000000000018,0.15000000000000013,272,0.03171823657375758,0.1284039562527825,0.14512674655655727,0.15035609335289177,0.005229346796334491,0.005229346796334494
12,0.20000000000000018,0.30000000000000004,0.2500000000000001,141,0.037501601362446256,0.13495409579813208,0.24790112219803723,0.1816363727854633,-0.0662647494125739,0.06626474941257393
13,0.30000000000000004,0.40000000000000013,0.3500000000000001,135,0.06193931416340608,0.18709936694832105,0.3477709377253497,0.23731384970505795,-0.11045708802029178,0.11045708802029178
14,0.40000000000000013,0.5,0.45000000000000007,116,0.09318450470254534,0.22884743970992122,0.45113089449446775,0.23833112071929433,-0.21279977377517345,0.21279977377517342
15,0.5,0.6000000000000001,0.55,127,0.10014825268361824,0.2482157481054766,0.5504850144461384,0.33355660249014346,-0.21692841195599497,0.21692841195599494
16,0.6000000000000001,0.7000000000000002,0.6500000000000001,133,0.15589646545644986,0.2909428941654032,0.6505623437408218,0.37990011239978044,-0.27066223134104134,0.27066223134104134
17,0.7000000000000002,0.8,0.7500000000000001,146,0.13838151995695863,0.2669333142451895,0.7482224225181423,0.5087296245965773,-0.23949279792156491,0.23949279792156497
18,0.8,0.9000000000000001,0.8500000000000001,99,0.26338651160634835,0.3707300521226804,0.851254054392227,0.49095468310217055,-0.36029937129005657,0.36029937129005646
19,0.9000000000000001,1.0,0.9500000000000001,55,0.2698341578001414,0.3705328785342038,0.9658362085169012,0.5977056799219473,-0.3681305285949539,0.3681305285949539
